iter	Passed	Remaining
616	1302	808
617	1303	805
618	1305	803
619	1307	801
620	1309	798
621	1310	796
622	1312	794
623	1313	791
624	1315	789
625	1316	786
626	1318	784
627	1320	782
628	1321	779
629	1323	777
630	1325	774
631	1326	772
632	1328	769
633	1329	767
634	1331	765
635	1333	762
636	1334	760
637	1336	758
638	1337	755
639	1339	753
640	1340	750
641	1342	748
642	1343	746
643	1346	744
644	1347	741
645	1349	739
646	1351	737
647	1352	734
648	1354	732
649	1355	729
650	1357	727
651	1359	725
652	1360	723
653	1362	720
654	1363	718
655	1365	715
656	1366	713
657	1368	711
658	1370	708
659	1371	706
660	1373	704
661	1374	701
662	1376	699
663	1378	697
664	1379	694
665	1380	692
666	1382	690
667	1384	688
668	1385	685
669	1387	683
670	1388	680
671	1390	678
672	1391	676
673	1393	673
674	1394	671
675	1396	669
676	1398	667
677	1399	664
678	1401	662
679	1402	660
680	1404	657
681	1405	655
682	1407	653
683	1409	650
684	1410	648
685	1412	646
686	1414	644
687	1415	642
688	1417	639
689	1418	637
690	1420	635
691	1421	632
692	1423	630
693	1425	628
694	1426	626
695	1428	623
696	1429	621
697	1431	619
698	1432	616
699	1434	614
700	1436	612
701	1438	610
702	1439	608
703	1441	605
704	1442	603
705	1444	601
706	1445	599
707	1448	597
708	1449	595
709	1451	592
710	1452	590
711	1454	588
712	1456	586
713	1457	583
714	1459	581
715	1460	579
716	1462	577
717	1464	575
718	1465	572
719	1467	570
720	1469	568
721	1470	566
722	1471	563
723	1473	561
724	1475	559
725	1476	557
726	1478	555
727	1480	552
728	1481	550
729	1482	548
730	1484	546
731	1486	544
732	1488	542
733	1489	539
734	1491	537
735	1492	535
736	1494	533
737	1495	530
738	1497	528
739	1498	526
740	1500	524
741	1502	522
742	1503	520
743	1505	517
744	1506	515
745	1508	513
746	1509	511
747	1511	509
748	1513	507
749	1515	505
750	1516	502
751	1518	500
752	1519	498
753	1521	496
754	1522	494
755	1524	491
756	1526	489
757	1527	487
758	1529	485
759	1531	483
760	1532	481
761	1533	479
762	1535	476
763	1536	474
764	1539	472
765	1541	470
766	1542	468
767	1544	466
768	1545	464
769	1547	462
770	1548	459
771	1549	457
772	1551	455
773	1553	453
774	1555	451
775	1557	449
776	1558	447
777	1560	445
778	1561	443
779	1563	440
780	1564	438
781	1566	436
782	1568	434
783	1569	432
784	1571	430
785	1572	428
786	1574	426
